PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Wesley Matthews,73,34.2,.533,17.0,8.2,18.5,0.8,11.8,6.0,11.93,53.3,1.8
Willie Cauley-Stein,75,18.9,.558,11.5,9.9,18.4,7.0,20.4,13.7,16.37,122.4,4.1
Kyle O'Quinn,79,15.6,.552,18.2,11.8,18.4,13.7,24.8,19.2,20.59,183.2,6.1
Evan Turner,65,25.5,.491,22.7,11.1,18.4,2.4,14.2,8.3,11.48,24.2,0.8
David West,68,12.6,.571,29.8,15.6,18.4,6.5,18.8,13.0,16.57,64.7,2.2
Marco Belinelli,74,24.0,.566,16.2,7.7,18.3,0.9,10.2,5.5,13.40,76.9,2.6
Jodie Meeks,36,20.5,.567,12.2,9.7,18.3,0.7,10.9,5.7,13.15,29.2,1.0
Nick Young,60,25.9,.588,7.6,4.7,18.3,1.7,8.2,4.8,14.12,84.0,2.8
Kelly Olynyk,75,20.5,.603,18.4,11.9,18.3,5.3,20.7,13.1,15.32,108.4,3.6
Taj Gibson,78,25.5,.543,7.6,11.0,18.3,8.6,18.0,13.2,15.07,105.9,3.5
Gary Harris,57,31.3,.611,17.5,8.1,18.2,3.0,8.0,5.5,16.52,160.1,5.3
Brandon Bass,52,11.1,.650,7.6,10.6,18.2,8.6,16.2,12.5,19.71,70.7,2.4
Jonas Valanciunas,80,25.8,.601,5.9,11.0,18.2,12.4,29.1,20.8,20.13,293.8,9.8
Bobby Portis,64,15.6,.545,7.4,7.8,18.2,8.0,24.0,15.9,14.99,52.1,1.7
Myles Turner,81,31.4,.585,8.7,8.7,18.1,6.2,19.6,13.0,18.51,300.1,10.0
Langston Galloway,74,20.2,.510,13.1,6.5,18.1,1.9,9.3,5.6,10.41,-2.0,-0.1
Omri Casspi,36,17.9,.523,15.2,11.9,18.1,0.0,0.0,0.0,9.98,-5.0,-0.2
Dwight Howard,74,29.7,.627,9.7,15.8,18.1,15.0,31.7,23.5,20.89,337.8,11.3
T.J. Warren,66,31.0,.539,7.4,5.6,18.1,6.5,11.7,9.0,15.64,157.1,5.2
Robert Covington,67,31.6,.534,9.8,12.6,18.0,4.8,17.9,11.3,13.27,87.6,2.9
Marcus Thornton,33,17.4,.494,14.2,8.7,18.0,4.3,10.5,7.5,10.44,0.0,0.0
Mario Hezonja,65,14.8,.450,13.1,12.3,17.9,2.2,14.7,8.3,7.27,-46.3,-1.5
Channing Frye,74,18.9,.612,6.9,8.1,17.8,3.0,19.3,11.4,15.72,88.1,2.9
Joe Johnson,78,23.6,.542,16.5,7.9,17.8,2.1,12.8,7.6,12.82,63.9,2.1
Rondae Hollis-Jefferson,78,22.6,.517,16.7,12.6,17.8,5.8,21.1,13.6,13.71,84.4,2.8
Quincy Acy,38,14.7,.565,7.6,8.9,17.8,3.9,18.0,11.0,11.87,11.4,0.4
Isaiah Whitehead,73,22.5,.487,21.5,15.9,17.7,2.1,9.7,5.9,7.59,-83.6,-2.8
Mirza Teletovic,70,16.2,.515,9.2,7.1,17.7,1.1,15.4,8.3,8.81,-45.4,-1.5
Trevor Booker,71,24.7,.554,15.3,14.0,17.7,8.7,25.5,17.2,15.71,110.2,3.7
Mason Plumlee,81,26.5,.558,24.2,11.4,17.6,8.8,22.4,15.6,18.18,242.9,8.1
Dante Exum,66,18.6,.521,18.9,13.6,17.6,2.9,9.3,6.2,8.58,-44.3,-1.5
Kevin Seraphin,49,11.4,.559,8.9,11.2,17.6,8.3,20.0,14.3,14.47,32.3,1.1
Jonathon Simmons,78,17.8,.504,18.5,11.2,17.6,1.7,11.1,6.5,9.91,-12.3,-0.4
Chandler Parsons,34,19.9,.436,17.2,7.5,17.5,1.0,13.6,7.1,7.69,-28.3,-0.9
Terrence Ross,78,25.1,.550,9.4,7.3,17.5,1.0,10.8,5.9,13.46,86.5,2.9
Kenneth Faried,61,21.2,.588,9.0,9.6,17.4,15.8,23.6,19.7,20.36,171.3,5.7
Richaun Holmes,57,20.9,.611,10.2,9.6,17.4,8.7,20.1,14.4,18.61,126.6,4.2
Tim Frazier,65,23.5,.504,37.4,11.3,17.4,2.3,9.7,6.0,12.40,31.8,1.1
Draymond Green,76,32.5,.522,36.5,12.6,17.3,4.7,20.9,13.3,16.51,184.7,6.2
Tony Allen,71,27.0,.493,11.5,11.8,17.1,9.7,13.8,11.7,13.33,80.9,2.7
Jameer Nelson,75,27.3,.544,33.6,11.2,17.0,1.5,8.8,5.2,11.52,15.8,0.5
Matthew Dellavedova,76,26.1,.501,33.5,12.5,17.0,1.4,7.1,4.3,9.44,-46.2,-1.5
Gerald Henderson,72,23.2,.530,14.0,7.9,17.0,2.2,10.0,6.1,10.81,7.7,0.3
Wayne Ellington,62,24.2,.565,10.4,4.5,16.9,1.3,8.5,4.9,12.68,48.7,1.6
C.J. Miles,76,23.4,.592,6.2,5.3,16.9,1.9,12.4,7.2,13.77,86.7,2.9
Timothe Luwawu-Cabarrot,69,17.2,.536,13.3,13.0,16.9,2.3,11.5,6.9,8.51,-35.3,-1.2
Andrew Harrison,72,20.5,.477,27.2,11.7,16.9,1.7,9.0,5.3,8.69,-50.9,-1.7
Darrell Arthur,41,15.6,.583,13.9,11.9,16.9,4.4,14.9,9.7,12.89,13.2,0.4
Doug McDermott,66,22.8,.554,9.2,6.0,16.9,1.4,11.5,6.4,10.77,6.1,0.2
Jaylen Brown,78,17.2,.539,10.5,11.2,16.8,3.8,14.4,9.1,10.33,-3.4,-0.1
Montrezl Harrell,58,18.3,.662,12.6,8.7,16.8,8.3,14.2,11.2,19.23,122.8,4.1
Jon Leuer,75,25.9,.551,12.7,7.6,16.7,5.5,17.5,11.3,14.21,78.7,2.6
Terry Rozier,74,17.1,.466,21.2,7.6,16.7,3.6,16.3,10.0,10.90,-1.9,-0.1
Robin Lopez,81,28.0,.511,8.1,9.2,16.7,11.5,13.2,12.3,14.47,131.0,4.4
Ryan Anderson,72,29.4,.583,7.1,5.7,16.7,5.8,11.2,8.5,13.53,64.2,2.1
E'Twaun Moore,73,24.9,.537,18.7,7.1,16.7,1.9,6.9,4.4,12.13,44.2,1.5
Monta Ellis,74,27.0,.514,24.0,13.7,16.7,1.1,10.3,5.7,9.99,-15.3,-0.5
Anthony Morrow,49,14.6,.505,8.4,2.0,16.6,1.9,2.9,2.4,10.09,-4.4,-0.1
Kris Humphries,56,12.3,.514,9.4,9.1,16.5,9.7,23.0,16.4,13.65,22.1,0.7
Alex Len,77,20.3,.553,6.3,14.6,16.5,10.6,25.3,17.8,15.04,103.3,3.4
Thon Maker,57,9.9,.558,9.5,7.0,16.5,8.4,15.2,11.8,14.08,21.6,0.7
